CODICE ISTAT,MOVIMENTO 5 STELLE,PARTITO DEMOCRATICO,LEGA SALVINI PREMIER,SÜDTIROLER VOLKSPARTEI (SVP),FRATELLI D'ITALIA,FORZA ITALIA - NOI MODERATI - PPE,ALLEANZA VERDI E SINISTRA
1008,-2.8000000000000007,5.459999999999997,-2.37,,2.3200000000000003,0.8199999999999994,4.399999999999999
1009,-0.2699999999999996,2.5199999999999996,-0.5700000000000003,,4.5,0.3500000000000014,2.1799999999999997
1010,-1.0499999999999998,-1.0700000000000003,2.9399999999999995,,8.09,0.41999999999999993,5.92
1011,0.04999999999999982,6.120000000000001,-1.7700000000000014,,2.009999999999998,0.03000000000000025,5.950000000000001
1012,1.2999999999999998,-0.47000000000000064,1.58,,2.280000000000001,1.799999999999999,0.9699999999999998
1013,-1.8099999999999987,3.5100000000000016,-0.2400000000000002,,0.7899999999999991,2.0999999999999996,5.78
1014,-2.249999999999999,7.73,-2.960000000000001,,9.239999999999998,0.8700000000000001,2.94
1015,-0.20999999999999996,0.6999999999999993,0.5899999999999999,,4.729999999999997,-0.9600000000000009,0.75
1016,2.0600000000000005,1.5700000000000003,-3.0999999999999996,,4.039999999999999,0.6500000000000004,3.8299999999999996
1017,-2.71,-2.9000000000000004,6.390000000000001,,-1.0399999999999991,3.3900000000000006,4.76
1018,-2.9799999999999995,4.640000000000001,0.7000000000000002,,3.120000000000001,0.45999999999999996,3.9800000000000004
1019,-0.5200000000000005,1.0500000000000007,3.130000000000001,,11.46,-10.94,3.130000000000001
1020,-2.139999999999999,4.460000000000001,0.14999999999999947,,4.830000000000002,0.8900000000000006,2.719999999999999
1021,-0.040000000000000036,-3.950000000000001,0.08000000000000007,,0.7999999999999972,1.3599999999999994,2.79
1022,-0.6000000000000005,-0.25,0.5099999999999998,,2.0600000000000023,3.41,2.1800000000000006
1023,1.3399999999999999,-1.9199999999999982,1.8600000000000012,,0.370000000000001,2.2499999999999996,2.57
1024,-2.6899999999999995,4.330000000000002,-1.6099999999999994,,2.3099999999999987,0.7699999999999996,5.02
1025,-2.2800000000000002,2.879999999999999,-2.3100000000000005,,-1.1799999999999997,5.580000000000002,3.26
1026,-2.1599999999999993,-2.7399999999999984,-2.25,,5.629999999999999,2.6000000000000014,7.010000000000001
1027,-1.5299999999999994,6.010000000000002,-0.5999999999999996,,3.289999999999999,-0.9199999999999999,3.5200000000000005
1028,-3.3000000000000007,4.32,-1.0899999999999999,,5.600000000000001,1.4100000000000001,2.3299999999999996
1029,-0.27999999999999936,1.6100000000000012,0.8400000000000016,,8.359999999999996,-0.9399999999999995,3.240000000000001
1030,-2.3200000000000003,3.25,0.5199999999999996,,5.82,-0.2999999999999998,3.2199999999999998
1031,1.8099999999999996,6.32,-0.41000000000000014,,1.9399999999999977,0.03999999999999915,4.22
1032,-3.969999999999999,1.259999999999998,2.869999999999999,,2.0500000000000007,2.71,4.8100000000000005
1033,-2.119999999999999,2.5,0.15000000000000036,,6.0,0.33000000000000007,2.25
